trace_id,timestamp,query,response,latency_ms,prompt_tokens,completion_tokens,total_tokens,cost_usd,faithfulness,answer_relevancy,context_recall,judge_score,quality_score
76101ded-45a9-4c62-b439-8524fac53da9,2026-06-20 11:24:59.594948,Query 22,Response 22,2464,484,278,762,0.0071,0.93,0.93,0.98,0.64,0.87
9ad8049b-fc24-4ae3-b957-e01274f20a98,2026-06-20 11:24:59.594948,Query 23,Response 23,1929,345,71,416,0.0194,0.84,0.86,0.77,0.74,0.8025
b6d94c8c-9868-422b-acca-d5b5d06a0077,2026-06-20 11:24:59.594948,Query 24,Response 24,1454,105,271,376,0.001,0.69,0.63,0.84,0.8,0.74
fd989ff0-6469-44de-bcb2-7fdf80688073,2026-06-20 11:24:59.594948,Query 25,Response 25,1141,435,66,501,0.0276,0.87,0.93,0.64,0.73,0.7925
3dcc5ddb-3548-40d4-834c-abb2ce74bd3f,2026-06-20 11:24:59.594948,Query 26,Response 26,1533,514,237,751,0.0244,0.66,0.92,0.98,0.92,0.87
3279c1fa-10ab-488f-b218-682f05aadc8b,2026-06-20 11:24:59.594948,Query 27,Response 27,1890,381,97,478,0.0214,0.61,0.92,0.91,0.72,0.79
1071f8f0-7031-48ff-8d1f-69af08ccf03f,2026-06-20 11:24:59.594948,Query 28,Response 28,1173,323,50,373,0.0198,0.8,0.96,0.71,0.82,0.8224999999999999
c1360153-6a57-4003-8043-0b76c06cb307,2026-06-20 11:24:59.594948,Query 29,Response 29,359,766,50,816,0.0024,0.62,0.91,0.92,0.63,0.77
33be0a19-b7c0-4a9c-88c7-ccba0a84608f,2026-06-20 11:24:59.594948,Query 30,Response 30,911,166,241,407,0.0187,0.98,0.62,0.64,0.79,0.7575000000000001
a96e822e-e003-41c7-b721-45ea75394b13,2026-06-20 11:24:59.594948,Query 31,Response 31,1264,154,115,269,0.0053,0.69,0.99,0.9,0.65,0.8075
76832595-737f-43df-a5e4-63c74bf8a031,2026-06-20 11:24:59.594948,Query 32,Response 32,554,507,160,667,0.0092,0.94,0.66,0.76,0.62,0.7450000000000001
6e4b1439-db30-41bd-a53b-2d2e693fbd95,2026-06-20 11:24:59.594948,Query 33,Response 33,1101,683,130,813,0.0177,0.87,0.76,0.63,0.89,0.7875
adafe16f-3f60-455a-8714-0884f099159a,2026-06-20 11:24:59.594948,Query 34,Response 34,2426,575,195,770,0.0192,0.72,0.76,0.98,0.75,0.8025
a5976c56-2e76-4c36-b8ee-754c9f79bd84,2026-06-20 11:24:59.594948,Query 35,Response 35,381,733,59,792,0.0297,0.93,0.77,0.81,0.68,0.7975000000000001
79daeb02-09ad-41dc-b0ef-883d25a0af04,2026-06-20 11:24:59.594948,Query 36,Response 36,1936,431,258,689,0.0261,0.64,0.76,0.76,0.69,0.7125
ef16732a-ef60-45e3-9f95-6aa3a8f012fc,2026-06-20 11:24:59.594948,Query 37,Response 37,602,590,136,726,0.0203,0.84,0.79,0.91,0.7,0.81
826bf8d4-ecce-493d-bd9b-5513ca48100d,2026-06-20 11:24:59.594948,Query 38,Response 38,1593,452,102,554,0.0208,0.76,0.84,0.68,0.73,0.7525000000000001
cc2f3ce5-a6f3-4c3f-a6ac-73b5cc493480,2026-06-20 11:24:59.594948,Query 39,Response 39,591,695,74,769,0.0251,0.97,0.76,0.61,0.68,0.755
438fbb06-9962-40eb-ac00-9ec9a696eaf0,2026-06-20 11:24:59.594948,Query 40,Response 40,491,361,259,620,0.0198,0.81,0.67,0.71,0.75,0.735
d95eea2a-2ef3-4c53-8cad-fa49421b32d5,2026-06-20 11:24:59.594948,Query 41,Response 41,2412,139,114,253,0.0058,0.89,0.84,0.65,0.82,0.7999999999999999
b949272c-4f49-4a02-86a7-066443ab5517,2026-06-20 11:24:59.594948,Query 42,Response 42,827,109,249,358,0.0236,0.61,0.86,0.95,0.94,0.84
59e71a15-3485-473e-ad47-d00948219f6f,2026-06-20 11:24:59.594948,Query 43,Response 43,912,716,250,966,0.0019,1.0,0.75,0.71,0.7,0.79
60b35097-3ae0-48d7-b110-c063aeeda876,2026-06-20 11:24:59.594948,Query 44,Response 44,2240,771,250,1021,0.0267,0.82,0.85,0.67,0.77,0.7775
5f04d9d6-e396-4e71-a65e-d9c7beac383a,2026-06-20 11:24:59.594948,Query 45,Response 45,2339,343,241,584,0.0183,0.76,0.69,0.73,1.0,0.7949999999999999
33cb669c-16ec-4363-b7d0-cda07cb08634,2026-06-20 11:24:59.594948,Query 46,Response 46,794,522,85,607,0.0067,0.83,0.71,0.62,0.79,0.7375
53afaba5-b099-4269-8459-756a0b1ba54a,2026-06-20 11:24:59.594948,Query 47,Response 47,1381,206,117,323,0.0112,0.98,0.71,0.76,0.66,0.7775000000000001
bc3f9d88-1c10-49fe-9411-5b2015d9e11f,2026-06-20 11:24:59.594948,Query 48,Response 48,2315,453,56,509,0.0028,0.77,0.68,0.8,0.87,0.78
2585df0f-728f-410d-9041-0da2dfe227d4,2026-06-20 11:24:59.594948,Query 49,Response 49,981,439,74,513,0.009,0.95,0.87,0.93,0.87,0.905
d1a35161-e5b9-42ee-b891-24e0a4c86678,2026-06-20 11:24:59.594948,Query 50,Response 50,2420,541,297,838,0.0019,0.75,0.75,0.88,0.76,0.7849999999999999
46d0ae37-1040-4073-9042-2affedd1dc64,2026-06-20 11:24:59.594948,Query 51,Response 51,654,597,145,742,0.0245,0.97,0.63,0.92,0.61,0.7825
b19e49f4-b3c6-4334-81c6-4fddf10b8a3b,2026-06-20 11:24:59.594948,Query 52,Response 52,2231,371,99,470,0.0264,0.66,0.77,0.74,0.68,0.7125
113a4e04-7cbf-45ad-846b-ff0d20558b24,2026-06-20 11:24:59.594948,Query 53,Response 53,501,356,297,653,0.0035,0.65,0.73,0.69,0.7,0.6924999999999999
ea53a65e-0864-4732-9a27-4d143a2f77d1,2026-06-20 11:24:59.594948,Query 54,Response 54,2013,565,170,735,0.0214,0.62,0.86,0.87,0.64,0.7475
7d3e55c3-c9b6-4b1a-8a26-bde322033d34,2026-06-20 11:24:59.594948,Query 55,Response 55,967,633,247,880,0.025,0.91,0.74,0.67,0.67,0.7474999999999999
42ec0f74-1a46-4e60-9b04-dfd4ec115111,2026-06-20 11:24:59.594948,Query 56,Response 56,1965,484,258,742,0.0029,0.81,0.65,0.76,0.93,0.7875
f11bc12d-1597-4e72-b0b7-9b9da38e0e2d,2026-06-20 11:24:59.594948,Query 57,Response 57,404,649,284,933,0.0179,0.96,0.68,0.77,0.88,0.8225
8482d7cf-46e7-44f5-9b08-20cb45bc0b9f,2026-06-20 11:24:59.594948,Query 58,Response 58,463,327,208,535,0.0077,0.9,0.91,0.92,0.73,0.865
1eb76b25-688a-45db-967b-86fa561ab3e1,2026-06-20 11:24:59.594948,Query 59,Response 59,2416,238,209,447,0.0117,0.69,0.62,0.93,0.8,0.76
55507340-e97c-485b-9124-87f440c297ca,2026-06-20 11:24:59.594948,Query 60,Response 60,2198,776,180,956,0.0056,0.6,0.86,0.67,0.8,0.7324999999999999
24adfbe8-947d-4f86-85d0-29918ea82582,2026-06-20 11:24:59.594948,Query 61,Response 61,1526,492,150,642,0.0261,0.68,0.61,0.84,0.92,0.7625
57dc7978-a316-416e-a33f-fdefe5e612bb,2026-06-20 11:24:59.594948,Query 62,Response 62,1488,613,219,832,0.0134,0.77,0.63,0.83,0.72,0.7375
2f154cd1-6fdb-4892-9b23-3a4935af6575,2026-06-20 11:24:59.594948,Query 63,Response 63,821,142,280,422,0.0271,0.63,0.82,0.68,0.66,0.6975
7b1dd1d1-b2c8-46e5-a7b3-d000135bce77,2026-06-20 11:24:59.594948,Query 64,Response 64,539,602,120,722,0.0047,0.89,0.72,0.6,0.76,0.7424999999999999
db88083f-3503-417b-a1ec-0f095ca5342f,2026-06-20 11:24:59.594948,Query 65,Response 65,806,444,251,695,0.0179,0.68,0.77,0.82,0.67,0.735
32d28f6e-a060-41e2-921d-a74864736d56,2026-06-20 11:24:59.594948,Query 66,Response 66,551,360,142,502,0.0024,0.81,0.71,0.62,0.66,0.7000000000000001
91e46c0f-40e6-4b97-8403-1d3891c7426d,2026-06-20 11:24:59.594948,Query 67,Response 67,2067,145,140,285,0.0147,0.95,0.76,0.77,0.78,0.815
e7322062-340b-410a-bb81-1b3edbf03b4d,2026-06-20 11:24:59.594948,Query 68,Response 68,557,178,257,435,0.0038,0.69,0.75,0.74,0.7,0.72
deadb601-602c-4125-9159-22fd689eb59f,2026-06-20 11:24:59.594948,Query 69,Response 69,683,751,128,879,0.0251,0.85,0.95,0.84,0.78,0.855
9bf833a1-2440-4151-a6fb-ccd5a58db294,2026-06-20 11:24:59.594948,Query 70,Response 70,612,482,265,747,0.0096,0.79,0.91,0.71,0.81,0.805
830cdd8e-cd96-47e4-8aaf-323620788f70,2026-06-20 11:24:59.594948,Query 71,Response 71,534,260,266,526,0.0073,0.89,0.76,0.65,0.7,0.75
2a4e798f-c520-4536-aa2d-fd6489b14997,2026-06-20 11:24:59.594948,Query 72,Response 72,1556,578,135,713,0.0023,0.79,0.67,0.83,0.73,0.755
e2fa6272-b43d-4fa4-bf0a-79439bc800c2,2026-06-20 11:24:59.594948,Query 73,Response 73,2238,330,278,608,0.0086,0.61,0.73,1.0,0.69,0.7575
fa4585c5-e6f5-458b-8188-06a8f9ad8b8f,2026-06-20 11:24:59.594948,Query 74,Response 74,559,579,127,706,0.0261,0.9,0.94,0.85,0.67,0.84
8e48950a-ca43-4832-bee2-564a8bf01b86,2026-06-20 11:24:59.594948,Query 75,Response 75,1360,435,184,619,0.0217,0.68,0.96,0.86,0.87,0.8425
6a61da62-4d85-4fb1-8406-1c3f32694941,2026-06-20 11:24:59.594948,Query 76,Response 76,1185,447,124,571,0.0146,0.95,0.87,0.77,0.82,0.8524999999999999
a7579e0f-2808-49f5-b299-f660f0047bbe,2026-06-20 11:24:59.594948,Query 77,Response 77,484,170,125,295,0.0261,0.95,0.62,0.84,0.85,0.815
d0e86aab-fe3c-4841-90a8-f1e3631b93e7,2026-06-20 11:24:59.594948,Query 78,Response 78,818,478,151,629,0.0264,0.62,0.69,0.63,0.76,0.675
3f3989a5-ce8f-4d9e-af6c-38c60b38fdc8,2026-06-20 11:24:59.594948,Query 79,Response 79,1159,110,150,260,0.0115,0.61,0.95,0.64,0.83,0.7575000000000001
ac20eb75-db4d-4333-8a7e-b34a84b7dbe3,2026-06-20 11:24:59.594948,Query 80,Response 80,2091,542,208,750,0.0056,0.76,0.83,0.76,0.88,0.8074999999999999
1f1f1098-be5c-47d3-b045-97cf1459cfe8,2026-06-20 11:24:59.594948,Query 81,Response 81,2256,326,148,474,0.0072,0.73,0.92,0.8,0.66,0.7775000000000001
ef66f194-3768-42da-9122-1a236cb59290,2026-06-20 11:24:59.594948,Query 82,Response 82,340,527,273,800,0.0127,0.73,0.82,0.72,0.98,0.8124999999999999
f0f545d4-765b-49a7-95e5-86266f15064a,2026-06-20 11:24:59.594948,Query 83,Response 83,995,175,127,302,0.027,0.61,0.82,0.7,0.81,0.735
ca3e9345-5de3-4026-b156-c86a7ae4de2e,2026-06-20 11:24:59.594948,Query 84,Response 84,339,735,158,893,0.0179,0.62,0.86,0.76,0.67,0.7275
c488d693-3e0c-47b6-9ea1-51c059bf0fbd,2026-06-20 11:24:59.594948,Query 85,Response 85,2255,638,221,859,0.0262,0.99,0.99,0.71,0.99,0.9199999999999999
3f8d6a4b-1e9b-4bbd-a38b-5d0d1725895a,2026-06-20 11:24:59.594948,Query 86,Response 86,2175,622,180,802,0.0253,0.9,0.67,0.96,0.78,0.8275000000000001
daa397d2-737f-4dc5-8cda-90e033bc54ba,2026-06-20 11:24:59.594948,Query 87,Response 87,1813,205,91,296,0.0269,0.98,0.93,0.64,0.7,0.8125
0f4fea7e-852f-42ed-8298-9a66bfde3421,2026-06-20 11:24:59.594948,Query 88,Response 88,2278,475,296,771,0.0241,0.94,0.84,0.7,0.69,0.7924999999999999
a17fb846-9bd7-4acc-bc8d-e27f0bfc9f95,2026-06-20 11:24:59.594948,Query 89,Response 89,848,259,263,522,0.0043,0.86,0.92,0.85,0.64,0.8175
ff64a6aa-9e55-49a3-9a73-fbe8838a229c,2026-06-20 11:24:59.594948,Query 90,Response 90,496,341,99,440,0.0268,0.78,0.88,0.77,0.82,0.8125
cccf1c77-486d-42ae-8f40-0eced4ed27f8,2026-06-20 11:24:59.594948,Query 91,Response 91,1204,597,195,792,0.0117,0.9,0.76,0.76,0.87,0.8225
d2b7b776-0bf8-4c97-9c11-5269f5ebf6ee,2026-06-20 11:24:59.594948,Query 92,Response 92,943,247,188,435,0.0214,0.93,0.92,0.69,0.74,0.8200000000000001
44cffbf1-e1c3-4faa-afe0-def51aa10afd,2026-06-20 11:24:59.594948,Query 93,Response 93,596,310,92,402,0.0267,0.61,0.91,0.91,0.88,0.8275
edfdd963-a441-4e20-9a96-095811a23a64,2026-06-20 11:24:59.594948,Query 94,Response 94,760,662,258,920,0.0297,0.76,0.95,0.72,0.71,0.7849999999999999
1bb508b2-9229-422f-86aa-768850398103,2026-06-20 11:24:59.594948,Query 95,Response 95,2266,278,264,542,0.0224,0.8,0.69,0.79,0.92,0.8
f215cfaa-4ac4-429b-8385-46b387419f34,2026-06-20 11:24:59.594948,Query 96,Response 96,1871,439,132,571,0.0169,0.81,0.77,0.62,0.67,0.7175
01de12b2-ea7a-49d3-863b-9e7324c1a9b2,2026-06-20 11:24:59.595948,Query 97,Response 97,2412,451,54,505,0.0086,0.71,1.0,0.9,0.91,0.88
d79f5b46-00af-4a51-b4a1-aa8b4b6fd1a4,2026-06-20 11:24:59.595948,Query 98,Response 98,746,168,203,371,0.0241,0.91,0.99,0.91,0.87,0.92
abf5d1ae-3cb0-4b14-abfa-ec02d6061e2d,2026-06-20 11:24:59.595948,Query 99,Response 99,453,587,211,798,0.009,0.83,0.62,0.76,0.75,0.74
